Q.No,Question,Option A,Option B,Option C,Option D,Correct Answer (Key),Correct Answer (Text)
1,Doctor : Hospital :: Chef : ?,Restaurant,Kitchen,Food,Ingredients,A,Restaurant
2,Heat : Energy :: Frequency : ?,Time,Waves,Hertz,Amplitude,C,Hertz
3,Which of the following is least like the other three?,Brass,Bronze,Steel,Copper,D,Copper
4,Choose the word which is different from the rest:,Kilogram,Gram,Quintal,Meter,D,Meter
5,"What comes next in the following series: A2Z, C4X, E6V, G8T, ?",I10R,J10R,I12R,J12R,A,I10R
6,"Find the missing number in the series: 3, 8, 15, 24, ?, 48",33,35,37,39,B,35
7,"If 'DOCTOR' is coded as 'EPEUPTS', then how will 'TEACHER' be coded?",UFBDIHS,UGBDIHS,UGBDIDS,UFBDIDS,B,UGBDIHS
8,"In a certain code language, 'SYSTEM' is written as 'SYSMET'. How will 'SECTION' be written in that language?",SECITOIN,SECTOIN,SECTOIN,SECNITO,B,SECTOIN
9,"Pointing to a photograph, a man said, ""I have no brother or sister but that man's father is my father's son."" Whose photograph was it?",His Son,His Nephew,His Father,His Grandfather,A,His Son
10,A man is facing North. He turns 45 degrees clockwise and then another 180 degrees clockwise and then 45 degrees anticlockwise. Which direction is he facing now?,East,South-East,West,South-West,B,South-East
11,"Which of the following diagrams best represents the relationship between: Doctors, Engineers, and Humans?",A: Three overlapping circles,B: One circle containing two non-overlapping circles,C: One circle encompassing two overlapping circles,D: Three separate circles,C,C: One circle encompassing two overlapping circles
12,"What number should replace the question mark in the following sequence: 2, 6, 12, 20, ?",24,28,30,32,C,30
13,"In paper folding questions, which of the following remains constant throughout the folding and cutting process?",The number of folds,The shape of the paper,The area of the paper,The position of the cuts,C,The area of the paper
14,Choose the correct mirror image of the word 'REVERSE' when the mirror is placed vertically to the right.,ƎƧЯƎVƎЯ,ЯƎVƎSƎЯ,REVERSE,2ƎVƎЯƧƎ,B,ЯƎVƎSƎЯ
15,What logical operation is most commonly used to solve missing element problems within a 3x3 matrix?,Multiplication,Addition and Subtraction,Logical Deduction based on patterns,Division,C,Logical Deduction based on patterns
16,"If '+' means '-', '-' means '*', '*' means '/' and '/' means '+', then what is the value of 16 / 4 + 5 - 2 * 3?",8,10,12,14,B,10
17,"Two positions of a dice are shown. When 4 is at the bottom, what number will be on the top?",1,2,3,5,B,2
18,"Six friends A, B, C, D, E and F are sitting in a circle facing the center. C is to the left of D, and B is between A and E. If F is between E and D, then who is to the left of F?",A,C,B,E,D,E
19,A man is facing South. He turns 135 degrees in the anticlockwise direction and then 180 degrees in the clockwise direction. Which direction is he facing now?,North-east,North-west,South-east,South-west,C,South-east
20,Which of the following transformation rules is most commonly applied in Non-Verbal Series questions?,Color change only,"Rotation, Translation, and Reflection",Text replacement only,Sound alteration,B,"Rotation, Translation, and Reflection"
21,"In Non-Verbal Series problems, what does 'Completing the Series' generally refer to?",Finding the odd one out,Predicting the next figure in the sequence,Identifying hidden numbers,Calculating the area of the figures,B,Predicting the next figure in the sequence
22,Who was the first woman President of the Indian National Congress?,Sarojini Naidu,Annie Besant,Nellie Sengupta,Indira Gandhi,B,Annie Besant
23,The Battle of Plassey was fought in which year?,1757,1764,1857,1803,A,1757
24,Which of the following dynasties was founded by Chandragupta Maurya?,Gupta Dynasty,Maurya Dynasty,Nanda Dynasty,Kushan Dynasty,B,Maurya Dynasty
25,Which of the following is the highest peak in the Eastern Ghats?,Anamudi,Doddabetta,Mahendragiri,Kanchenjunga,C,Mahendragiri
26,The Tropic of Cancer passes through how many states of India?,6,7,8,9,C,8
27,Which of the following rivers is known as the 'Sorrow of Bihar'?,Ganga,Kosi,Son,Damodar,B,Kosi
28,Which of the following Schedules of the Indian Constitution deals with the allocation of seats in the Council of States (Rajya Sabha)?,Fourth Schedule,Sixth Schedule,Eighth Schedule,Tenth Schedule,A,Fourth Schedule
29,Under which article of the Indian Constitution can the President of India proclaim financial emergency?,Article 352,Article 356,Article 360,Article 368,C,Article 360
30,The concept of 'Judicial Review' in the Indian Constitution has been taken from which country's constitution?,United Kingdom,United States of America,Canada,Australia,B,United States of America
31,Which of the following committees is associated with financial sector reforms in India?,Narasimham Committee,Kelkar Committee,Abid Hussain Committee,Rangarajan Committee,A,Narasimham Committee
32,What does the term 'repo rate' refer to in the context of monetary policy?,Rate at which commercial banks borrow money from the general public,Rate at which commercial banks borrow money from the Reserve Bank of India (RBI),Rate at which RBI borrows money from commercial banks,Rate at which commercial banks lend money to each other,B,Rate at which commercial banks borrow money from the Reserve Bank of India (RBI)
33,Which of the following is NOT a greenhouse gas?,Carbon Dioxide,Methane,Nitrous Oxide,Oxygen,D,Oxygen
34,The chemical formula for Baking Soda is:,NaCl,NaHCO3,Na2CO3,NaOH,B,NaHCO3
35,Which vitamin is generally synthesized by the human body when exposed to sunlight?,Vitamin A,Vitamin B,Vitamin C,Vitamin D,D,Vitamin D
36,The SI unit of Electric Current is:,Watt,Volt,Ohm,Ampere,D,Ampere
37,Which of the following is used as a moderator in nuclear reactors to slow down neutrons?,Uranium,Plutonium,Graphite,Sodium,C,Graphite
38,Which city hosted the G20 Summit in September 2023?,New Delhi,Beijing,Tokyo,London,A,New Delhi
39,Who is the current Chairman of the NITI Aayog?,Amit Shah,Narendra Modi,S. Jaishankar,Rajnath Singh,B,Narendra Modi
40,What is the name of India's first indigenously built aircraft carrier?,INS Vikramaditya,INS Vikrant,INS Virat,INS Viraat,B,INS Vikrant
41,"Which country recently surpassed India as the most populous nation in the world, according to UN estimates?",United States,Indonesia,China,Brazil,C,China
42,Which Indian state held legislative assembly elections in May 2023?,Karnataka,Tamil Nadu,Kerala,Andhra Pradesh,A,Karnataka
43,Which of the following is the highest peak in the Nilgiri Hills?,Doddabetta,Anamudi,Guru Shikhar,Kanchenjunga,A,Doddabetta
44,The currency of Indonesia is:,Rupiah,Ringgit,Baht,Peso,A,Rupiah
45,The famous 'Dilwara Temples' are located in which of the following states?,Uttar Pradesh,Rajasthan,Maharashtra,Madhya Pradesh,B,Rajasthan
46,Who was the first Indian woman to win the Miss World title?,Priyanka Chopra,Aishwarya Rai,Reita Faria,Diana Hayden,C,Reita Faria
47,What is the sum of the first 5 prime numbers?,26,28,30,32,B,28
48,What is the value of 15% of 25% of 440?,16.5,22,19.8,26.4,A,16.5
49,"In an election, a candidate secured 40% of the votes but is defeated by the other candidate by a majority of 298 votes. What is the total number of votes polled?",745,1490,1500,1400,B,1490
50,"If A:B = 2:3 and B:C = 4:5, then A:C is equal to:",2:5,8:15,3:2,5:2,B,8:15
51,The average weight of 8 people increases by 2.5 kg when a new person replaces one of them weighing 65 kg. What is the weight of the new person?,85 kg,67.5 kg,45 kg,80 kg,A,85 kg
52,"A shopkeeper sells an article at a profit of 20%. If he had bought it for 10% less and sold it for Rs. 18 less, he would have gained 30%. Find the cost price of the article.",Rs. 400,Rs. 500,Rs. 600,Rs. 300,C,Rs. 600
53,"A trader sells two articles for Rs. 1000 each. On one, he gains 10% and on the other, he loses 10%. What is his overall gain or loss percentage?",1% Loss,1% Gain,No Profit No Loss,2% Loss,A,1% Loss
54,A sum of money doubles itself in 8 years at simple interest. In how many years will it become four times itself?,16 years,24 years,32 years,40 years,B,24 years
55,A can do a piece of work in 10 days and B can do it in 15 days. How many days will both take together to complete the same work?,5 days,6 days,8 days,12 days,B,6 days
56,"If 12 men can do a piece of work in 20 days, how long would it take 15 men to complete the same work?",12 days,16 days,18 days,24 days,B,16 days
57,A train 100 meters long is running at a speed of 30 km/hr. The time (in seconds) in which it will pass a man standing near the railway line is:,10,12,15,18,B,12
58,"If x + y = 12 and x - y = 2, then the value of x² - y² is:",14,24,28,36,B,24
59,What is the value of 'k' for which the system of equations 2x + ky = 10 and 4x + 6y = 20 has infinitely many solutions?,2,3,4,6,B,3
60,A number when divided by 5 leaves a remainder of 3. What is the remainder when the square of the same number is divided by 5?,1,4,9,14,B,4
61,The sum of the interior angles of a pentagon is:,360 degrees,540 degrees,720 degrees,900 degrees,B,540 degrees
62,"If the radius of a circle is increased by 20%, then the area of the circle increases by:",20%,40%,44%,48%,C,44%
63,The length of the longest rod that can be placed in a room of dimensions 10m x 10m x 5m is:,15m,16m,10√2 m,5√13 m,A,15m
64,"The perimeter of a square is equal to the perimeter of a rectangle. If the side of the square is 15 cm and the length of the rectangle is 20 cm, what is the breadth of the rectangle?",10 cm,5 cm,8 cm,7 cm,A,10 cm
65,What is the formula to calculate the curved surface area of a cylinder?,πr²h,2πrh,πrl,4πr²,B,2πrh
66,The value of sin(90° + θ) is equal to:,sin θ,-sin θ,cos θ,-cos θ,C,cos θ
67,"If tan θ = 3/4, then the value of cos θ is:",3/5,4/5,5/3,5/4,B,4/5
68,What is the value of sin²θ + cos²θ?,0,1,-1,2,B,1
69,A pie chart is used to represent data as parts of a:,Square,Rectangle,Triangle,Circle,D,Circle
70,What does the term 'range' signify in a data set?,The average of the data,The difference between the highest and lowest values,The most frequently occurring value,The middle value,B,The difference between the highest and lowest values
71,Which of the following is generally considered the MOST suitable chart type for displaying trends over time?,Pie Chart,Bar Graph,Line Graph,Scatter Plot,C,Line Graph
72,"In a bar graph, the length of each bar is proportional to its:",Color,Width,Value,Position,C,Value
73,Identify the error in the following sentence: 'The price of tomatoes are rising rapidly because of the unseasonal rains.',The,are rising,because of,no error,B,are rising
74,Which part of the sentence contains an error: 'He is one of the tallest boy in the class.',He is,one of,tallest boy,in the class,C,tallest boy
75,"The Preamble declares India to be a sovereign, socialist, secular, democratic, and ______ republic.",Authoritarian,Totalitarian,Federal,Republican,D,Republican
76,The Planning Commission of India was replaced by the ______ in 2015.,Finance Commission,NITI Aayog,RBI,NABARD,B,NITI Aayog
77,Choose the synonym for the word 'Ephemeral'.,Permanent,Lasting,Transient,Eternal,C,Transient
78,Which of the following words is an antonym of 'Ameliorate'?,Improve,Worsen,Enhance,Relieve,B,Worsen
79,Select the word that is most similar in meaning to 'Ubiquitous'.,Rare,Scarce,Pervasive,Limited,C,Pervasive
80,Identify the antonym for 'Benevolent'.,Kind,Compassionate,Malevolent,Generous,C,Malevolent
81,What does the idiom 'A piece of cake' mean?,A delicious dessert,A very easy task,A complex problem,A generous reward,B,A very easy task
82,Choose the option that best describes the meaning of the phrase 'To bite the bullet'.,To avoid a difficult situation,To confront a difficult situation with courage,To make a quick decision,To delay an important task,B,To confront a difficult situation with courage
83,What is the one-word substitute for 'A person who loves mankind'?,Misanthrope,Philanthropist,Misogynist,Ascetic,B,Philanthropist
84,Choose the appropriate one-word substitute for 'A government by the rich'.,Democracy,Autocracy,Oligarchy,Plutocracy,D,Plutocracy
85,Which of the following words is correctly spelled?,Accomodate,Acomodate,Accommodate,Accommodait,C,Accommodate
86,Choose the correctly spelled word that means 'a written or printed work consisting of pages glued or sewn together along one side and bound in covers'.,Booke,Bok,Boock,Book,D,Book
87,"Which of the following is the MOST grammatically correct and concise way to express: 'Despite of the rain, we enjoyed the picnic.'?","Despite of the rain, we enjoyed the picnic.","In spite of the rain, we enjoyed the picnic.","Despite the rain, we enjoyed the picnic.","Although of the rain, we enjoyed the picnic.",C,"Despite the rain, we enjoyed the picnic."
88,Identify the sentence that uses correct subject-verb agreement: 'Each of the students are responsible for their own actions.',Each of the students are responsible for their own actions.,Each of the students is responsible for their own actions.,Each of the students were responsible for their own actions.,Each of the students has responsible for their own actions.,B,Each of the students is responsible for their own actions.
89,Which of the following sentences is in the passive voice?,The dog chased the cat.,The letter was written by her.,She is singing a song.,He plays football.,B,The letter was written by her.
90,What is the active voice equivalent of the sentence: 'The thief was caught by the police'?,The police had caught the thief.,The police will catch the thief.,The police caught the thief.,The thief is caught by the police.,C,The police caught the thief.
91,Which of the following sentences is in indirect speech?,"He said, ""I am going to the market.""","She said, ""Where is the book?""",They said that they were tired.,"The teacher asked, ""Have you finished your work?""",C,They said that they were tired.
92,"Convert the following sentence to indirect speech: ""The doctor said, 'Take rest for a week.'""",The doctor said that you should take rest for a week.,The doctor told to take rest for a week.,The doctor advised to take rest for a week.,The doctor said that he should take rest for a week.,C,The doctor advised to take rest for a week.
93,"In a Cloze Test, what is typically omitted from a passage?",Adjectives,Pronouns,Prepositions,Words,D,Words
94,Which of the following skills is LEAST directly tested by a Cloze Test?,Vocabulary,Grammar,Spelling,Contextual Understanding,C,Spelling
95,A word that fits grammatically in a Cloze blank but doesn't make sense contextually is an example of what?,Semantic Correctness,Syntactic Correctness,Logical Fallacy,Lexical Ambiguity,B,Syntactic Correctness
96,Which of these prepositions often causes difficulty in Cloze Tests due to its multiple uses?,Of,On,At,In,A,Of
97,"When attempting a Cloze Test, it's best to read the entire passage ______ filling in the blanks.",After,Before,During,Simultaneously,B,Before
