Question,Option A,Option B,Option C,Option D,Correct Answer,Subject,Topics,Points
Which state is the largest producer of manganese in India?,Odisha,Madhya Pradesh,Karnataka,Maharashtra,b,Minerals of India,"minerals of india questions, state mineral prodcuer, state mineral reserve, which mineral in which state, coal facts, iron facts, steel plant located, plateau minerals facts, nuclear reactors facts, source of energy facts question, petroleum products",1
The Kudankulam Nuclear Power Plant is located in which state?,Andhra Pradesh,Tamil Nadu,Kerala,Karnataka,b,Minerals of India,"minerals of india questions, state mineral prodcuer, state mineral reserve, which mineral in which state, coal facts, iron facts, steel plant located, plateau minerals facts, nuclear reactors facts, source of energy facts question, petroleum products",1
Which of the following is a uranium-producing state in India?,Rajasthan,Jharkhand,Chhattisgarh,Bihar,b,Minerals of India,"minerals of india questions, state mineral prodcuer, state mineral reserve, which mineral in which state, coal facts, iron facts, steel plant located, plateau minerals facts, nuclear reactors facts, source of energy facts question, petroleum products",1
Bhilai Steel Plant is located in which state?,Odisha,Jharkhand,Chhattisgarh,West Bengal,c,Minerals of India,"minerals of india questions, state mineral prodcuer, state mineral reserve, which mineral in which state, coal facts, iron facts, steel plant located, plateau minerals facts, nuclear reactors facts, source of energy facts question, petroleum products",1
Which state is known for its chromite deposits in India?,Odisha,Karnataka,Andhra Pradesh,Tamil Nadu,a,Minerals of India,"minerals of india questions, state mineral prodcuer, state mineral reserve, which mineral in which state, coal facts, iron facts, steel plant located, plateau minerals facts, nuclear reactors facts, source of energy facts question, petroleum products",1
The Narora Atomic Power Station is situated in which state?,Uttar Pradesh,Haryana,Punjab,Rajasthan,a,Minerals of India,"minerals of india questions, state mineral prodcuer, state mineral reserve, which mineral in which state, coal facts, iron facts, steel plant located, plateau minerals facts, nuclear reactors facts, source of energy facts question, petroleum products",1
Which is the largest coal producing state in India?,Odisha,Chhattisgarh,Jharkhand,West Bengal,b,Minerals of India,"minerals of india questions, state mineral prodcuer, state mineral reserve, which mineral in which state, coal facts, iron facts, steel plant located, plateau minerals facts, nuclear reactors facts, source of energy facts question, petroleum products",1
In which state is the Jamshedpur Steel Plant located?,West Bengal,Jharkhand,Odisha,Chhattisgarh,b,Minerals of India,"minerals of india questions, state mineral prodcuer, state mineral reserve, which mineral in which state, coal facts, iron facts, steel plant located, plateau minerals facts, nuclear reactors facts, source of energy facts question, petroleum products",1
What type of iron ore is predominantly found in India?,Limonite,Siderite,Hematite,Goethite,c,Minerals of India,"minerals of india questions, state mineral prodcuer, state mineral reserve, which mineral in which state, coal facts, iron facts, steel plant located, plateau minerals facts, nuclear reactors facts, source of energy facts question, petroleum products",1
Which state in India is the largest producer of bauxite?,Gujarat,Jharkhand,Odisha,Maharashtra,c,Minerals of India,"minerals of india questions, state mineral prodcuer, state mineral reserve, which mineral in which state, coal facts, iron facts, steel plant located, plateau minerals facts, nuclear reactors facts, source of energy facts question, petroleum products",1
The Kakrapar Atomic Power Station is located in which state?,Gujarat,Maharashtra,Rajasthan,Madhya Pradesh,a,Minerals of India,"minerals of india questions, state mineral prodcuer, state mineral reserve, which mineral in which state, coal facts, iron facts, steel plant located, plateau minerals facts, nuclear reactors facts, source of energy facts question, petroleum products",1
Which of the following is a major source of renewable energy in India?,Coal,Natural Gas,Solar,Petroleum,c,Minerals of India,"minerals of india questions, state mineral prodcuer, state mineral reserve, which mineral in which state, coal facts, iron facts, steel plant located, plateau minerals facts, nuclear reactors facts, source of energy facts question, petroleum products",1
Which state is the leading producer of iron ore in India?,Chhattisgarh,Karnataka,Odisha,Jharkhand,c,Minerals of India,"minerals of india questions, state mineral prodcuer, state mineral reserve, which mineral in which state, coal facts, iron facts, steel plant located, plateau minerals facts, nuclear reactors facts, source of energy facts question, petroleum products",1
The Tarapur Atomic Power Station is located in which state?,Gujarat,Maharashtra,Rajasthan,Karnataka,b,Minerals of India,"minerals of india questions, state mineral prodcuer, state mineral reserve, which mineral in which state, coal facts, iron facts, steel plant located, plateau minerals facts, nuclear reactors facts, source of energy facts question, petroleum products",1
Which mineral provides the primary source of energy in nuclear reactors?,Thorium,Bauxite,Manganese,Uranium,d,Minerals of India,"minerals of india questions, state mineral prodcuer, state mineral reserve, which mineral in which state, coal facts, iron facts, steel plant located, plateau minerals facts, nuclear reactors facts, source of energy facts question, petroleum products",1
In which state is the Bokaro Steel Plant situated?,Odisha,West Bengal,Jharkhand,Chhattisgarh,c,Minerals of India,"minerals of india questions, state mineral prodcuer, state mineral reserve, which mineral in which state, coal facts, iron facts, steel plant located, plateau minerals facts, nuclear reactors facts, source of energy facts question, petroleum products",1
Which state is the largest producer of lead and zinc in India?,Rajasthan,Andhra Pradesh,Karnataka,Madhya Pradesh,a,Minerals of India,"minerals of india questions, state mineral prodcuer, state mineral reserve, which mineral in which state, coal facts, iron facts, steel plant located, plateau minerals facts, nuclear reactors facts, source of energy facts question, petroleum products",1
"What is the main use of magnetite, a type of iron ore?",Production of steel,Production of aluminum,Production of copper,Production of fertilizers,a,Minerals of India,"minerals of india questions, state mineral prodcuer, state mineral reserve, which mineral in which state, coal facts, iron facts, steel plant located, plateau minerals facts, nuclear reactors facts, source of energy facts question, petroleum products",1
Which of the following is a non-renewable source of energy?,Wind Energy,Solar Energy,Coal,Hydropower,c,Minerals of India,"minerals of india questions, state mineral prodcuer, state mineral reserve, which mineral in which state, coal facts, iron facts, steel plant located, plateau minerals facts, nuclear reactors facts, source of energy facts question, petroleum products",1
The Rawatbhata Nuclear Power Plant is located in which state?,Uttar Pradesh,Rajasthan,Madhya Pradesh,Haryana,b,Minerals of India,"minerals of india questions, state mineral prodcuer, state mineral reserve, which mineral in which state, coal facts, iron facts, steel plant located, plateau minerals facts, nuclear reactors facts, source of energy facts question, petroleum products",1
Which state in India has the largest reserves of Thorium?,Kerala,Tamil Nadu,Andhra Pradesh,Karnataka,a,Minerals of India,"minerals of india questions, state mineral prodcuer, state mineral reserve, which mineral in which state, coal facts, iron facts, steel plant located, plateau minerals facts, nuclear reactors facts, source of energy facts question, petroleum products",1
Which of the following steel plants is a public sector undertaking?,Tata Steel,Jindal Steel,SAIL,Essar Steel,c,Minerals of India,"minerals of india questions, state mineral prodcuer, state mineral reserve, which mineral in which state, coal facts, iron facts, steel plant located, plateau minerals facts, nuclear reactors facts, source of energy facts question, petroleum products",1
Which element is commonly added to iron to make stainless steel?,Copper,Zinc,Chromium,Aluminum,c,Minerals of India,"minerals of india questions, state mineral prodcuer, state mineral reserve, which mineral in which state, coal facts, iron facts, steel plant located, plateau minerals facts, nuclear reactors facts, source of energy facts question, petroleum products",1
The Kaiga Atomic Power Station is located in which state?,Tamil Nadu,Karnataka,Andhra Pradesh,Kerala,b,Minerals of India,"minerals of india questions, state mineral prodcuer, state mineral reserve, which mineral in which state, coal facts, iron facts, steel plant located, plateau minerals facts, nuclear reactors facts, source of energy facts question, petroleum products",1
"What is the primary use of limestone, a major mineral found in India?",Production of Aluminum,Production of cement,Production of steel,Production of fertilizers,b,Minerals of India,"minerals of india questions, state mineral prodcuer, state mineral reserve, which mineral in which state, coal facts, iron facts, steel plant located, plateau minerals facts, nuclear reactors facts, source of energy facts question, petroleum products",1
